Circoscrizione;Quartiere ;Latitudine;Longitudine
1;Centro              ;45.071767;7.678488
1;Crocetta            ;45.058193;7.665198
2;Santa Rita          ;45.046291;7.643089
2;Mirafiori Nord      ;45.042951;7.629056
2;Mirafiori Sud       ;45.021725;7.61919
3;San Paolo           ;45.060186;7.642546
3;Cenisia             ;45.069506;7.64956
3;Pozzo Strada        ;45.068565;7.623186
3;Cit Turin;45.074472;7.658915
3;Borgata Lesna;45.055226;7.620605
4;San Donato          ;45.082516;7.661298
4;Parella             ;45.080732;7.626679
4;Campidoglio;45.083313;7.648933
5;Vallette         ;45.102862;7.63145
5;Madonna di Campagna ;45.10499;7.66083
5;Borgo Vittoria    ;45.102334;7.674091
5;Lucento;45.097289;7.649093
6;Barriera di Milano  ;45.088973;7.693471
6;Falchera            ;45.129054;7.710557
6;Regio Parco         ;45.098183;7.709007
6;Barca;45.109947;7.727843
6;Bertolla;45.099267;7.744301
6;Rebaudengo;45.106829;7.697552
6;Villaretto;45.132154;7.681473
7;Aurora              ;45.078634;7.684076
7;Vanchiglia          ;45.070486;7.700462
7;Madonna del Pilone  ;45.070867;7.740251
7;Sassi;45.079092;7.73027
8;San Salvario        ;45.053193;7.677227
8;Nizza Millefonti    ;45.027288;7.665156
8;Lingotto (Ex Mercati generali);45.031674;7.651271
8;Borgo Po;45.049365;7.704225
8;Cavoretto;45.031806;7.69038
8;Filadelfia;45.036957;7.656955
